node,throughput,latency,receivedByte,numCoding
0,inf,0,10500,0
1,inf,0,10500,0
2,inf,0,10500,0
3,inf,0,16800,0
4,inf,0,22500,0
5,inf,0,35000,0
6,inf,0,55100,0
7,inf,0,32200,0
8,inf,0,62800,1
9,inf,0,54200,94
10,inf,0,77000,83
11,inf,0,63800,13
12,inf,0,38000,0
13,inf,0,6200,0
14,inf,0,14500,0
15,inf,0,6200,0
16,inf,0,43400,0
17,inf,0,33700,15
18,inf,0,33700,15
19,inf,0,25300,0
20,inf,0,6200,0
21,inf,0,13400,0
22,-nan,0,0,0
23,-nan,0,0,0
24,873.888,0.114431,10500,0
25,92.5001,1.08108,10300,0
26,-nan,0,0,0
27,84.3224,1.18592,10500,0
28,70.103,1.42647,8700,0
29,153.376,0.651994,9200,0
30,1528.72,0.0654143,8600,0
31,161.625,0.618715,8600,0
32,57.1541,1.74965,6900,0
33,53.2202,1.87899,7800,0
34,80.6916,1.23929,6900,0
35,69.2541,1.44396,7100,0
36,1528.62,0.0654185,6800,0
37,63.2964,1.57987,6200,0
38,833.604,0.119961,6200,0
39,57.3645,1.74324,5900,0
