node,throughput,latency,receivedByte,numCoding
0,inf,0,251000,176
1,inf,0,226900,695
2,inf,0,244700,466
3,inf,0,256600,166
4,132795,0.00467974,231800,54
5,74885.8,0.00970584,298000,428
6,64001.4,0.0120141,284500,290
7,157101,0.00364373,211800,25
8,61424.7,0.00518702,114700,3
9,28380,0.0125913,129000,6
10,33660.4,0.00953009,114200,113
11,149102,0.00232993,126800,8
12,31759.2,0.00538091,59300,0
13,7851.53,0.0127364,35000,0
14,10376.5,0.0096372,33500,0
15,77702.9,0.00216223,58300,0
16,25274.4,0.00395658,32800,0
17,9860.29,0.0101417,33300,0
18,10326.3,0.00968402,33100,0
19,53430.2,0.0018716,33700,0
20,977.191,0.102334,25800,0
21,1399.46,0.0714559,25100,0
22,1111.25,0.0899889,25500,0
23,1176.53,0.0849956,25700,0
24,923.205,0.108318,21600,0
25,894.31,0.111818,23000,0
26,19.3012,5.18103,25600,0
27,21.0135,4.75885,23900,0
28,19.6481,5.08955,24900,0
29,19.7527,5.0626,25000,0
30,1602.45,0.0624046,18700,0
31,18.8157,5.31471,22500,0
32,18.3798,5.44076,25500,0
33,18.7516,5.33287,21600,0
34,965.799,0.103541,26000,0
35,18.3398,5.45262,21800,0
36,17.5949,5.68346,24600,0
37,780.352,0.128147,27700,0
38,-nan,0,0,0
39,589.558,0.169618,23600,0
