node,throughput,latency,receivedByte,numCoding
0,inf,0,43300,0
1,inf,0,44300,122
2,inf,0,42000,123
3,inf,0,34700,25
4,inf,0,56000,48
5,inf,0,37100,119
6,inf,0,54400,181
7,inf,0,50400,29
8,inf,0,47800,0
9,inf,0,39200,175
10,inf,0,39300,182
11,inf,0,46800,6
12,inf,0,59400,51
13,inf,0,49600,155
14,inf,0,42900,137
15,inf,0,61800,1
16,inf,0,44900,23
17,inf,0,44800,133
18,inf,0,44700,117
19,inf,0,45900,1
20,inf,0,20000,0
21,inf,0,20000,0
22,inf,0,21000,0
23,inf,0,20900,0
24,inf,0,38700,59
25,inf,0,48000,186
26,inf,0,46200,147
27,inf,0,40400,25
28,-nan,0,0,0
29,1606.73,0.0622383,10300,0
30,867.575,0.115264,8400,0
31,-nan,0,0,0
32,1309.96,0.076338,9400,0
33,1422.29,0.0703092,9400,0
34,1679.13,0.0595545,8500,0
35,2152.13,0.0464656,8300,0
36,1261.02,0.0793008,8100,0
37,2409.82,0.041497,8400,0
38,1849.27,0.0540754,9300,0
39,2063.1,0.0484708,7000,0
40,1525.97,0.0655321,8600,0
41,1417.61,0.0705415,9700,0
42,1295.47,0.0771922,9200,0
43,978.802,0.102166,9100,0
44,1454.99,0.0687288,9300,0
45,2240.15,0.0446398,9200,0
46,878.581,0.11382,9400,0
47,1607.17,0.062221,8900,0
48,1666.06,0.0600217,9900,0
49,2119.97,0.0471705,7400,0
50,1366.58,0.0731756,9200,0
51,1846.02,0.0541704,9700,0
52,914.648,0.109332,8900,0
53,847.989,0.117926,9200,0
54,1956.51,0.0511114,8400,0
55,2328.26,0.0429505,9200,0
56,1252.35,0.0798496,9800,0
57,2115.3,0.0472746,8900,0
58,1990.7,0.0502335,8600,0
59,1538.93,0.06498,8300,0
60,2082.07,0.0480292,8500,0
61,879.471,0.113705,7300,0
62,1668.51,0.0599337,8000,0
63,675.981,0.147933,8300,0
64,883.563,0.113178,10000,0
65,604.576,0.165405,9000,0
66,1185.19,0.0843744,9600,0
67,1430.31,0.0699147,8400,0
