node,throughput,latency,receivedByte,numCoding
0,inf,0,330900,453
1,inf,0,337200,1624
2,inf,0,349100,1574
3,inf,0,329300,243
4,195290,0.00325022,241200,0
5,29464.1,0.0105693,125500,0
6,24083.2,0.01083,95200,0
7,205064,0.00264594,201300,0
8,60138.3,0.00376597,80400,0
9,9609.88,0.010406,36600,0
10,8765.09,0.0114089,34800,0
11,90946.1,0.00310186,99300,0
12,95931.2,0.00235421,80400,0
13,11520.8,0.00867998,34500,0
14,21029.2,0.00935491,66100,0
15,91486.9,0.00288924,90400,0
16,39325.9,0.00254285,32800,0
17,10674.8,0.00936782,33300,0
18,2098.69,0.0476488,32500,0
19,46725.8,0.00214015,34200,0
20,841.836,0.118788,25300,0
21,809.461,0.123539,29100,0
22,863.334,0.11583,23300,0
23,918.424,0.108882,23400,0
24,64.4335,1.55199,28800,0
25,1343.44,0.0744358,25000,0
26,654.811,0.152716,25300,0
27,1120.96,0.0892091,25700,0
28,495.757,0.201712,25000,0
29,1009.89,0.0990206,24300,0
30,58.4652,1.71042,25400,0
31,1013.1,0.0987069,29400,0
32,755.334,0.132392,19600,0
33,63.9585,1.56351,24900,0
34,95.3536,1.04873,23900,0
35,52.9772,1.88761,24900,0
36,639.131,0.156462,23600,0
37,56.3937,1.77325,23300,0
38,89.8078,1.11349,20800,0
39,-nan,0,0,0
