node,throughput,latency,receivedByte,numCoding
0,-nan,0,0,0
1,-nan,0,0,0
2,-nan,0,0,0
3,-nan,0,0,0
4,inf,0,260400,207
5,inf,0,298400,1366
6,inf,0,256200,876
7,inf,0,298400,100
8,inf,0,19700,0
9,inf,0,19700,0
10,inf,0,19700,0
11,inf,0,53400,0
12,inf,0,211000,211
13,inf,0,193400,818
14,inf,0,183900,828
15,inf,0,192000,129
16,inf,0,14600,0
17,inf,0,41200,114
18,inf,0,29900,1
19,inf,0,66100,0
20,1781.22,0.0561414,23600,0
21,1972.24,0.0507037,22200,0
22,1928.98,0.0518408,23900,0
23,-nan,0,0,0
24,1923.04,0.0520009,22500,0
25,1452.73,0.0688359,24300,0
26,1540.15,0.0649289,22800,0
27,2269.85,0.0440558,20600,0
28,1770.61,0.0564778,19800,0
29,803.675,0.124428,20400,0
30,1665.71,0.0600346,19300,0
31,1159.07,0.0862761,20600,0
32,1799.49,0.0555712,19200,0
33,1945.57,0.0513987,18600,0
34,2354.46,0.0424726,19600,0
35,1873.64,0.053372,18200,0
36,1374.84,0.0727358,18600,0
37,1762.05,0.056752,18200,0
38,1217.85,0.0821117,19800,0
39,1586.1,0.0630477,19700,0
40,1284.4,0.0778575,17200,0
41,1017.42,0.0982882,17900,0
42,1412.59,0.070792,17700,0
43,1266.99,0.0789273,18200,0
44,983.909,0.101635,16400,0
45,1125.8,0.0888258,18400,0
46,1361.31,0.0734589,16600,0
47,914.273,0.109377,15300,0
48,1115.32,0.0896602,15200,0
49,1167.55,0.0856493,16500,0
50,-nan,0,0,0
51,1137.95,0.0878775,16000,0
52,903.764,0.110648,15200,0
53,1072.67,0.093225,15300,0
54,982.661,0.101764,14000,0
55,587.686,0.170159,13200,0
56,-nan,0,0,0
57,612.465,0.163275,13800,0
58,1965.4,0.0508803,11500,0
59,1628.46,0.0614076,10800,0
