node,throughput,latency,receivedByte,numCoding
0,inf,0,78700,44
1,inf,0,76600,268
2,inf,0,58600,161
3,inf,0,75700,27
4,inf,0,58700,0
5,inf,0,51400,35
6,inf,0,47700,72
7,inf,0,45900,10
8,inf,0,25200,15
9,inf,0,22900,8
10,inf,0,25900,33
11,inf,0,23900,5
12,inf,0,8200,0
13,inf,0,8200,0
14,inf,0,8200,0
15,inf,0,15400,0
16,inf,0,7200,0
17,inf,0,7200,0
18,inf,0,7200,0
19,inf,0,7200,0
20,1369.85,0.0730009,10100,0
21,1115.56,0.0896407,10800,0
22,1200.32,0.0833108,9800,0
23,395.171,0.253055,10500,0
24,1119.69,0.0893102,9200,0
25,1362.77,0.07338,9300,0
26,234.789,0.425914,11200,0
27,653.064,0.153124,10500,0
28,231.912,0.431198,9600,0
29,427.605,0.23386,7700,0
30,1056.22,0.0946776,6600,0
31,418.338,0.239041,8500,0
32,-nan,0,0,0
33,-nan,0,0,0
34,568.249,0.175979,7300,0
35,1137.52,0.0879103,8200,0
36,-nan,0,0,0
37,1148.89,0.0870403,7200,0
38,437.385,0.228631,6600,0
39,1056.06,0.094692,6900,0
