node,throughput,latency,receivedByte,numCoding
0,inf,0,42400,18
1,inf,0,51000,195
2,inf,0,43900,108
3,inf,0,40000,2
4,inf,0,36200,23
5,inf,0,46500,154
6,inf,0,57100,146
7,inf,0,77500,10
8,inf,0,55200,6
9,inf,0,59100,157
10,inf,0,47900,144
11,inf,0,55200,4
12,inf,0,44200,16
13,inf,0,51200,177
14,inf,0,44300,110
15,inf,0,49900,14
16,inf,0,47200,8
17,inf,0,49500,147
18,inf,0,48800,144
19,inf,0,47900,12
20,inf,0,50400,72
21,inf,0,43500,212
22,inf,0,39400,132
23,inf,0,45000,12
24,inf,0,26200,1
25,inf,0,37600,154
26,inf,0,26800,45
27,inf,0,34900,0
28,1539.39,0.064961,8200,0
29,1484.13,0.0673794,10000,0
30,1601.67,0.0624349,9200,0
31,1503.54,0.0665095,8500,0
32,1010.09,0.0990013,9600,0
33,775.094,0.129017,9800,0
34,897.601,0.111408,10000,0
35,1012.12,0.0988024,11500,0
36,1499.79,0.066676,7100,0
37,1085.14,0.0921537,9100,0
38,1300.08,0.0769182,8800,0
39,1482.94,0.0674336,8500,0
40,1226.54,0.0815302,8500,0
41,886.682,0.11278,8700,0
42,1483.17,0.0674231,8300,0
43,1586.52,0.0630309,6800,0
44,396.959,0.251915,6900,0
45,1211.11,0.0825688,8500,0
46,1447.75,0.0690729,7900,0
47,1328.1,0.0752958,9000,0
48,1455.88,0.0686871,9400,0
49,1607.82,0.0621962,8700,0
50,1414.26,0.0707081,9500,0
51,982.751,0.101755,9100,0
52,1468.09,0.0681158,10200,0
53,1557.85,0.064191,9800,0
54,1448.6,0.0690323,9300,0
55,777.483,0.12862,9000,0
56,1144.62,0.0873651,8200,0
57,1493.55,0.0669543,7900,0
58,1141.59,0.0875969,7600,0
59,1167.94,0.0856207,8700,0
60,1409.59,0.0709428,8000,0
61,1874.65,0.0533433,8500,0
62,1589.23,0.0629237,8300,0
63,1541.54,0.0648703,7600,0
64,1606.1,0.0622625,9000,0
65,1579.66,0.0633047,9200,0
66,1708.89,0.0585173,9400,0
67,1467.19,0.0681575,8600,0
