node,throughput,latency,receivedByte,numCoding
0,inf,0,64800,1
1,inf,0,45000,112
2,inf,0,55000,213
3,inf,0,53300,2
4,inf,0,50700,0
5,inf,0,43600,0
6,inf,0,32600,2
7,inf,0,35600,0
8,inf,0,73100,35
9,inf,0,40100,28
10,inf,0,43900,39
11,inf,0,50100,0
12,inf,0,35900,0
13,inf,0,9900,0
14,inf,0,17800,0
15,inf,0,26000,0
16,inf,0,7900,0
17,inf,0,7900,0
18,inf,0,7900,0
19,-nan,0,0,0
20,1686.21,0.0593045,11900,0
21,1100.74,0.0908478,12900,0
22,-nan,0,0,0
23,-nan,0,0,0
24,1205.13,0.0829787,11300,0
25,1334.65,0.0749261,13000,0
26,707.819,0.141279,11700,0
27,1008.58,0.0991495,10500,0
28,-nan,0,0,0
29,-nan,0,0,0
30,899.252,0.111204,10000,0
31,55.28,1.80897,9400,0
32,1032.23,0.0968772,9900,0
33,56.4268,1.77221,8300,0
34,1150.2,0.0869412,7200,0
35,1173.55,0.0852114,8200,0
36,964.328,0.103699,7800,0
37,45.1766,2.21354,7300,0
38,772.831,0.129394,7200,0
39,-nan,0,0,0
