node,throughput,latency,receivedByte,numCoding
0,inf,0,79600,59
1,inf,0,94000,331
2,inf,0,96500,433
3,inf,0,83800,122
4,inf,0,48300,0
5,inf,0,35400,0
6,inf,0,21400,0
7,inf,0,63700,36
8,inf,0,14600,0
9,-nan,0,0,0
10,inf,0,8900,0
11,inf,0,38100,0
12,-nan,0,0,0
13,-nan,0,0,0
14,-nan,0,0,0
15,inf,0,13000,0
16,-nan,0,0,0
17,-nan,0,0,0
18,-nan,0,0,0
19,inf,0,6100,0
20,-nan,0,0,0
21,1095.2,0.0913075,12500,0
22,-nan,0,0,0
23,-nan,0,0,0
24,1194.31,0.0837306,9400,0
25,490.016,0.204075,10200,0
26,578.875,0.172749,9200,0
27,360.156,0.277657,10400,0
28,66.8987,1.4948,7200,0
29,317.98,0.314485,9300,0
30,63.7312,1.56909,6800,0
31,320.658,0.311859,8900,0
32,65.5199,1.52625,6800,0
33,401.307,0.249186,8900,0
34,961.837,0.103968,7000,0
35,165.759,0.603284,8100,0
36,-nan,0,0,0
37,261.969,0.381725,8500,0
38,324.802,0.30788,5400,0
39,152.975,0.653702,6600,0
