node,throughput,latency,receivedByte,numCoding
0,inf,0,87400,106
1,inf,0,96800,295
2,inf,0,96100,304
3,inf,0,78100,126
4,inf,0,98500,52
5,inf,0,30200,0
6,inf,0,44000,0
7,inf,0,100900,0
8,inf,0,48400,13
9,inf,0,13800,0
10,-nan,0,0,0
11,inf,0,68700,0
12,inf,0,39900,0
13,inf,0,40000,1
14,inf,0,26100,0
15,inf,0,39300,0
16,inf,0,36100,63
17,inf,0,34100,43
18,inf,0,47400,0
19,inf,0,51300,0
20,inf,0,15300,0
21,163.753,0.610677,16200,0
22,1174.92,0.0851121,12600,0
23,1026.4,0.0974279,14300,0
24,-nan,0,0,0
25,34.8669,2.86805,13500,0
26,-nan,0,0,0
27,-nan,0,0,0
28,37.7797,2.64692,13000,0
29,986.383,0.10138,11300,0
30,887.391,0.11269,12800,0
31,32.205,3.10511,11400,0
32,35.1573,2.84436,10000,0
33,295.159,0.338801,14700,0
34,34.2992,2.91552,10800,0
35,723.507,0.138216,10200,0
36,1109.92,0.0900968,12900,0
37,1474.7,0.0678103,13300,0
38,1902.23,0.0525699,11100,0
39,446.039,0.224196,11200,0
