node,throughput,latency,receivedByte,numCoding
0,inf,0,41100,50
1,inf,0,48900,94
2,inf,0,66200,219
3,inf,0,53400,0
4,inf,0,56600,17
5,inf,0,53100,0
6,inf,0,30300,0
7,inf,0,58400,0
8,inf,0,40300,25
9,inf,0,24600,2
10,inf,0,13900,0
11,inf,0,63700,0
12,inf,0,27900,0
13,inf,0,14500,0
14,inf,0,28400,0
15,inf,0,71800,0
16,inf,0,58900,0
17,inf,0,72200,133
18,inf,0,54600,0
19,inf,0,45100,0
20,-nan,0,0,0
21,62.9237,1.58923,15800,0
22,-nan,0,0,0
23,1156.41,0.0864749,14600,0
24,-nan,0,0,0
25,-nan,0,0,0
26,-nan,0,0,0
27,877.378,0.113976,12800,0
28,541.027,0.184834,16500,0
29,927.711,0.107792,15100,0
30,777.115,0.128681,13300,0
31,17.636,5.67022,11100,0
32,243.872,0.410051,11100,0
33,94.1538,1.06209,13200,0
34,1450.74,0.0689304,14500,0
35,17.3688,5.75744,11100,0
36,-nan,0,0,0
37,17.0771,5.85579,10600,0
38,-nan,0,0,0
39,16.9407,5.90295,9900,0
