node,throughput,latency,receivedByte,numCoding
0,-nan,0,0,0
1,-nan,0,0,0
2,-nan,0,0,0
3,-nan,0,0,0
4,22681.5,0.00440888,100000,0
5,6706.55,0.0149108,99400,0
6,-nan,0,0,0
7,40707.5,0.00245655,99900,0
8,-nan,0,0,0
9,5579.29,0.0179234,99900,0
10,-nan,0,0,0
11,50601.6,0.00197622,99900,0
12,-nan,0,0,0
13,3134.41,0.0319039,99900,0
14,-nan,0,0,0
15,46645.4,0.00214384,99900,0
16,70856.8,0.00282259,199800,0
17,29093.5,0.00687095,199700,0
18,inf,0,99800,0
19,76764,0.00260148,199700,0
20,-nan,0,0,0
21,-nan,0,0,0
22,-nan,0,0,0
23,-nan,0,0,0
24,-nan,0,0,0
25,-nan,0,0,0
26,-nan,0,0,0
27,-nan,0,0,0
28,-nan,0,0,0
29,-nan,0,0,0
30,-nan,0,0,0
31,-nan,0,0,0
32,-nan,0,0,0
33,967.035,0.103409,99600,0
34,-nan,0,0,0
35,-nan,0,0,0
36,-nan,0,0,0
37,-nan,0,0,0
38,-nan,0,0,0
39,-nan,0,0,0
