node,throughput,latency,receivedByte,numCoding
0,inf,0,46000,34
1,inf,0,44100,191
2,inf,0,45900,188
3,inf,0,45100,6
4,inf,0,28400,3
5,inf,0,32600,141
6,inf,0,29500,107
7,inf,0,30700,1
8,inf,0,29300,2
9,inf,0,32500,134
10,inf,0,30000,107
11,inf,0,31000,0
12,inf,0,43200,10
13,inf,0,46700,203
14,inf,0,45500,178
15,inf,0,45700,1
16,inf,0,56800,59
17,inf,0,53800,185
18,inf,0,56400,172
19,inf,0,56400,15
20,inf,0,14900,0
21,inf,0,22100,72
22,inf,0,14900,0
23,inf,0,20700,0
24,inf,0,73700,59
25,inf,0,85500,406
26,inf,0,75600,285
27,inf,0,81800,8
28,717.913,0.139293,9700,0
29,2122.91,0.0471051,10000,0
30,1700.77,0.0587969,10200,0
31,2515.93,0.0397467,9600,0
32,1995.47,0.0501135,9300,0
33,2073.19,0.0482347,9500,0
34,964.193,0.103714,8800,0
35,1948.5,0.0513215,8700,0
36,1625.12,0.0615339,9500,0
37,977.11,0.102343,9900,0
38,1597.43,0.0626007,9500,0
39,1879.14,0.0532159,9100,0
40,551.992,0.181162,9300,0
41,2077.71,0.0481299,9400,0
42,765.688,0.130601,9600,0
43,1113.88,0.0897765,10600,0
44,756.336,0.132216,9500,0
45,2556.03,0.0391231,8200,0
46,482.221,0.207374,9900,0
47,384.518,0.260066,9900,0
48,463.4,0.215796,9800,0
49,608.857,0.164242,10000,0
50,2834.19,0.0352835,9200,0
51,391.796,0.255235,9900,0
52,1841.82,0.054294,10200,0
53,1737.34,0.0575592,9700,0
54,2577.69,0.0387944,8100,0
55,589.894,0.169522,9900,0
56,1406.94,0.071076,8800,0
57,464.105,0.215469,10300,0
58,1994.6,0.0501354,8300,0
59,943.638,0.105973,8800,0
60,1771.22,0.0564583,9000,0
61,2534.32,0.0394582,8600,0
62,1559.59,0.0641194,8800,0
63,2281.53,0.0438302,8100,0
64,1625.72,0.0615113,8800,0
65,1916.87,0.0521683,8600,0
66,1681.92,0.0594559,8500,0
67,1550.89,0.0644793,8300,0
