node,throughput,latency,receivedByte,numCoding
0,inf,0,72600,114
1,inf,0,62300,290
2,inf,0,61000,315
3,inf,0,71200,157
4,inf,0,47800,2
5,inf,0,10900,0
6,inf,0,10900,0
7,inf,0,68700,15
8,inf,0,48800,0
9,inf,0,37700,0
10,inf,0,42900,0
11,inf,0,51900,0
12,inf,0,60500,36
13,inf,0,67100,328
14,inf,0,61700,251
15,inf,0,76000,4
16,-nan,0,0,0
17,-nan,0,0,0
18,-nan,0,0,0
19,-nan,0,0,0
20,inf,0,71900,23
21,inf,0,89200,406
22,inf,0,75500,255
23,inf,0,85600,7
24,inf,0,35700,17
25,inf,0,46100,187
26,inf,0,35200,67
27,inf,0,44700,1
28,2235.18,0.0447391,9000,0
29,1406.36,0.0711055,9400,0
30,1348.86,0.0741364,8500,0
31,1436.64,0.0696068,8300,0
32,1983.36,0.0504195,8600,0
33,1554.31,0.0643373,13000,0
34,51.8186,1.92981,10300,0
35,841.342,0.118858,14300,0
36,51.1658,1.95443,9600,0
37,1602.35,0.0624082,10900,0
38,1261.71,0.0792573,13500,0
39,914.432,0.109358,11600,0
40,51.416,1.94492,8900,0
41,1700.44,0.0588084,10900,0
42,54.3776,1.83899,8800,0
43,768.76,0.13008,10300,0
44,2381.98,0.0419819,9200,0
45,1005.15,0.0994879,10100,0
46,1878.16,0.0532436,9100,0
47,2140.25,0.0467235,8300,0
48,1615.73,0.0618914,8300,0
49,1264.97,0.0790531,9000,0
50,2175.28,0.0459712,9000,0
51,1676.39,0.0596518,7700,0
52,1729.77,0.0578113,10300,0
53,1635.25,0.0611528,10400,0
54,1724.96,0.0579725,9300,0
55,1701.5,0.0587718,8000,0
56,1926.02,0.0519206,10600,0
57,2771.8,0.0360776,9100,0
58,1820.75,0.0549223,8700,0
59,490.914,0.203702,10500,0
60,1447.59,0.0690805,8800,0
61,2244.64,0.0445506,7500,0
62,1658.76,0.060286,8400,0
63,1282.59,0.0779674,8600,0
64,2365.74,0.04227,9000,0
65,888.808,0.11251,11100,0
66,2082.03,0.0480302,9000,0
67,855.808,0.116849,8700,0
