node,throughput,latency,receivedByte,numCoding
0,inf,0,83600,153
1,inf,0,71500,331
2,inf,0,76000,358
3,inf,0,79600,151
4,inf,0,47700,24
5,-nan,0,0,0
6,-nan,0,0,0
7,inf,0,50400,35
8,-nan,0,0,0
9,-nan,0,0,0
10,-nan,0,0,0
11,-nan,0,0,0
12,inf,0,79900,56
13,inf,0,88300,411
14,inf,0,79600,329
15,inf,0,85800,45
16,-nan,0,0,0
17,-nan,0,0,0
18,-nan,0,0,0
19,-nan,0,0,0
20,inf,0,72600,28
21,inf,0,89200,398
22,inf,0,74900,242
23,inf,0,85400,7
24,inf,0,36200,5
25,inf,0,44100,165
26,inf,0,36100,82
27,inf,0,42900,0
28,1229.27,0.0813492,6700,0
29,2529.1,0.0395397,7400,0
30,1452.36,0.0688536,9200,0
31,1681.19,0.0594815,8000,0
32,1364.62,0.0732803,8100,0
33,1407.27,0.0710594,7900,0
34,1179.33,0.0847939,11700,0
35,843.751,0.118518,11600,0
36,1090.81,0.091675,12800,0
37,1103.98,0.0905816,9300,0
38,942.953,0.10605,10900,0
39,887.597,0.112664,11100,0
40,1697.5,0.0589103,8500,0
41,1701.84,0.0587598,9300,0
42,1573.54,0.0635508,8600,0
43,2078.3,0.0481162,8900,0
44,1039.89,0.0961639,7500,0
45,1198.4,0.0834447,8500,0
46,1842.99,0.0542596,9400,0
47,1674.5,0.0597193,7800,0
48,1457.17,0.068626,7800,0
49,1286.26,0.0777449,8000,0
50,1464.34,0.0682903,8400,0
51,2195.25,0.0455529,8200,0
52,1353.47,0.0738843,8400,0
53,1599.26,0.0625287,9500,0
54,1214.32,0.0823509,9400,0
55,1825.52,0.0547789,9400,0
56,1500.51,0.0666442,9000,0
57,1935.79,0.0516584,8100,0
58,1430.3,0.0699154,9300,0
59,1047.29,0.0954843,10400,0
60,1697.03,0.0589264,9500,0
61,2427.79,0.0411897,8400,0
62,1284.4,0.0778573,9700,0
63,1099.62,0.0909404,7700,0
64,2298.07,0.0435148,8900,0
65,1738.7,0.0575143,9300,0
66,1885.19,0.0530451,9900,0
67,1375.23,0.072715,10000,0
