node,throughput,latency,receivedByte,numCoding
0,inf,0,50600,0
1,inf,0,50600,86
2,inf,0,45500,99
3,inf,0,38900,0
4,inf,0,57500,1
5,inf,0,45200,148
6,inf,0,48800,184
7,inf,0,44800,0
8,inf,0,52400,2
9,inf,0,53700,187
10,inf,0,42700,187
11,inf,0,41600,0
12,-nan,0,0,0
13,inf,0,11100,0
14,inf,0,11100,0
15,inf,0,11200,0
16,inf,0,58600,0
17,inf,0,48500,176
18,inf,0,48300,175
19,inf,0,47000,0
20,inf,0,69400,0
21,inf,0,51600,90
22,inf,0,54800,113
23,inf,0,64000,0
24,inf,0,42500,54
25,inf,0,43600,260
26,inf,0,43100,203
27,inf,0,46200,4
28,1118.28,0.089423,10400,0
29,2168.7,0.0461105,9300,0
30,1618.18,0.0617977,10800,0
31,24.7176,4.0457,7700,0
32,1752.36,0.057066,10600,0
33,2096.92,0.0476889,11400,0
34,2024.47,0.0493955,9800,0
35,1858.77,0.0537991,10700,0
36,220.864,0.452768,9900,0
37,24.6226,4.06131,7000,0
38,1219.95,0.0819706,9000,0
39,24.2171,4.12931,7500,0
40,2994,0.0334002,6800,0
41,25.1278,3.97966,8100,0
42,231.805,0.431398,10000,0
43,24.4899,4.08331,7600,0
44,1995.24,0.0501193,10300,0
45,1808.85,0.0552836,10300,0
46,216.605,0.461671,10200,0
47,1852.8,0.0539725,8700,0
48,1919.85,0.0520874,9600,0
49,2521.84,0.0396535,8900,0
50,263.812,0.379058,10400,0
51,1941.14,0.0515161,10100,0
52,1547.63,0.0646151,9600,0
53,2737.77,0.0365261,8800,0
54,-nan,0,0,0
55,-nan,0,0,0
56,199.739,0.500654,9500,0
57,1337.31,0.0747771,9800,0
58,1255,0.0796814,10100,0
59,1892.72,0.052834,10400,0
60,2110.03,0.0473927,11400,0
61,1885.6,0.0530335,10800,0
62,1908.49,0.0523976,10100,0
63,2198.84,0.0454785,9500,0
64,1377.52,0.0725941,16100,0
65,1552.72,0.0644033,10200,0
66,1113.43,0.0898127,11100,0
67,-nan,0,0,0
