node,throughput,latency,receivedByte,numCoding
0,inf,0,108100,142
1,inf,0,104800,529
2,inf,0,111700,480
3,inf,0,111200,134
4,inf,0,35500,0
5,inf,0,22200,0
6,inf,0,31400,0
7,inf,0,60500,19
8,inf,0,11400,0
9,inf,0,11400,0
10,-nan,0,0,0
11,inf,0,28400,0
12,-nan,0,0,0
13,-nan,0,0,0
14,-nan,0,0,0
15,inf,0,8000,0
16,-nan,0,0,0
17,-nan,0,0,0
18,-nan,0,0,0
19,-nan,0,0,0
20,1156.95,0.0864339,10800,0
21,1240.23,0.0806305,10500,0
22,1053.26,0.0949432,10300,0
23,1231.33,0.0812132,9300,0
24,1098.29,0.0910509,9300,0
25,894.301,0.111819,12300,0
26,1053.45,0.0949259,9000,0
27,690.225,0.14488,11300,0
28,874.145,0.114397,8100,0
29,1080.27,0.0925691,10800,0
30,1140.56,0.0876765,10200,0
31,1063.88,0.0939955,11000,0
32,946.127,0.105694,8300,0
33,862.691,0.115916,9600,0
34,904.131,0.110603,5600,0
35,-nan,0,0,0
36,-nan,0,0,0
37,1301.76,0.0768191,6000,0
38,1381.22,0.0724,5300,0
39,932.247,0.107268,7700,0
