node,throughput,latency,receivedByte,numCoding
0,inf,0,46400,74
1,inf,0,26700,187
2,inf,0,48000,326
3,inf,0,33900,0
4,inf,0,16300,0
5,inf,0,22300,60
6,inf,0,16300,0
7,inf,0,53600,0
8,-nan,0,0,0
9,-nan,0,0,0
10,-nan,0,0,0
11,-nan,0,0,0
12,-nan,0,0,0
13,-nan,0,0,0
14,-nan,0,0,0
15,-nan,0,0,0
16,-nan,0,0,0
17,-nan,0,0,0
18,-nan,0,0,0
19,-nan,0,0,0
20,-nan,0,0,0
21,-nan,0,0,0
22,-nan,0,0,0
23,-nan,0,0,0
24,-nan,0,0,0
25,-nan,0,0,0
26,-nan,0,0,0
27,-nan,0,0,0
28,2798.47,0.0357338,11000,0
29,2232.6,0.0447908,11300,0
30,1587.37,0.0629973,10000,0
31,2130.82,0.0469303,10700,0
32,2232.75,0.0447877,10400,0
33,1828.79,0.054681,9900,0
34,1844.9,0.0542035,10600,0
35,1708.84,0.0585191,10400,0
36,-nan,0,0,0
37,-nan,0,0,0
38,-nan,0,0,0
39,-nan,0,0,0
40,-nan,0,0,0
41,-nan,0,0,0
42,-nan,0,0,0
43,-nan,0,0,0
44,-nan,0,0,0
45,-nan,0,0,0
46,-nan,0,0,0
47,-nan,0,0,0
48,-nan,0,0,0
49,-nan,0,0,0
50,-nan,0,0,0
51,-nan,0,0,0
52,-nan,0,0,0
53,-nan,0,0,0
54,-nan,0,0,0
55,-nan,0,0,0
56,-nan,0,0,0
57,-nan,0,0,0
58,-nan,0,0,0
59,-nan,0,0,0
60,-nan,0,0,0
61,-nan,0,0,0
62,-nan,0,0,0
63,-nan,0,0,0
64,-nan,0,0,0
65,-nan,0,0,0
66,-nan,0,0,0
67,-nan,0,0,0
