node,throughput,latency,receivedByte,numCoding
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,1
7,0,0,0,1
8,0,0,0,1
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,1
25,0,0,0,1
26,0,0,0,1
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,1573.55,0.053162,190400,0
52,1671.07,0.0556488,202200,0
53,0,0,0,0
54,1835.54,0.0497038,222100,0
55,1148.76,10.4478,139000,0
56,1685.95,0.134144,204000,0
57,1106.61,10.9541,133900,0
58,1762.81,0.104047,213300,0
59,1265.29,0.0245464,153100,0
60,1476.86,0.0610681,178700,0
61,1572.73,0.0999985,190300,0
62,1570.25,0.0427172,190000,0
