node,throughput,latency,receivedByte,numCoding
0,inf,0,59600,86
1,inf,0,50800,154
2,inf,0,58400,168
3,inf,0,57300,16
4,inf,0,40000,0
5,inf,0,34100,0
6,-nan,0,0,0
7,inf,0,7900,0
8,inf,0,34500,0
9,inf,0,54100,0
10,inf,0,55400,118
11,inf,0,52500,16
12,inf,0,16200,0
13,inf,0,23400,0
14,inf,0,15400,1
15,inf,0,15300,0
16,-nan,0,0,0
17,inf,0,8100,0
18,inf,0,8100,0
19,inf,0,16200,0
20,1105.08,0.0904916,11900,0
21,1061.05,0.0942464,12500,0
22,1345.31,0.0743325,11300,0
23,1009.92,0.099018,11700,0
24,1260.15,0.0793559,9800,0
25,1293.6,0.0773037,9900,0
26,46.9937,2.12795,9100,0
27,-nan,0,0,0
28,46.1128,2.1686,8400,0
29,67.016,1.49218,8600,0
30,38.6734,2.58576,7400,0
31,-nan,0,0,0
32,35.3249,2.83086,7000,0
33,58.0885,1.72151,7900,0
34,761.479,0.131323,8100,0
35,-nan,0,0,0
36,-nan,0,0,0
37,1082.35,0.0923915,8100,0
38,834.559,0.119824,7300,0
39,-nan,0,0,0
