node,throughput,latency,receivedByte,numCoding
0,inf,0,24000,0
1,inf,0,24900,9
2,inf,0,32100,81
3,inf,0,39700,1
4,inf,0,63300,0
5,inf,0,65200,89
6,inf,0,62200,96
7,inf,0,45500,27
8,inf,0,57300,0
9,inf,0,64000,183
10,inf,0,54400,96
11,inf,0,44800,0
12,inf,0,36500,0
13,inf,0,47500,110
14,inf,0,55700,110
15,inf,0,45200,0
16,-nan,0,0,0
17,-nan,0,0,0
18,-nan,0,0,0
19,inf,0,7000,0
20,inf,0,43200,0
21,inf,0,56400,132
22,inf,0,24100,17
23,inf,0,38300,0
24,inf,0,44400,0
25,inf,0,64700,203
26,inf,0,42800,0
27,inf,0,44200,9
28,1588.55,0.0629503,100,0
29,87.6225,1.14126,3400,0
30,892.295,0.112071,1100,0
31,110.551,0.904559,6400,0
32,-nan,0,0,0
33,120.382,0.830692,200,0
34,-nan,0,0,0
35,100.127,0.998736,4300,0
36,-nan,0,0,0
37,98.3804,1.01646,7300,0
38,1597.37,0.062603,300,0
39,1003.51,0.0996503,1100,0
40,1168.4,0.0855869,2200,0
41,1603.63,0.0623585,300,0
42,29.5532,3.38373,2900,0
43,755.648,0.132337,2100,0
44,-nan,0,0,0
45,237.014,0.421915,400,0
46,-nan,0,0,0
47,147.562,0.677683,500,0
48,-nan,0,0,0
49,-nan,0,0,0
50,31.0165,3.22409,3500,0
51,1607.71,0.0622005,10200,0
52,27.8115,3.59564,4000,0
53,149.466,0.669049,500,0
54,33.777,2.96059,4100,0
55,1268.85,0.0788113,3300,0
56,1365.57,0.0732296,1500,0
57,-nan,0,0,0
58,1621.53,0.0616703,100,0
59,120.51,0.829808,5600,0
60,-nan,0,0,0
61,161.382,0.619649,6100,0
62,-nan,0,0,0
63,137.247,0.728615,5900,0
64,-nan,0,0,0
65,172.274,0.580472,3900,0
66,-nan,0,0,0
67,89.4727,1.11766,9800,0
