node,throughput,latency,receivedByte,numCoding
0,inf,0,43200,34
1,inf,0,43200,198
2,inf,0,40300,180
3,inf,0,45000,47
4,inf,0,38000,23
5,inf,0,37000,129
6,inf,0,38000,121
7,inf,0,39700,7
8,inf,0,11200,0
9,inf,0,11200,0
10,inf,0,11200,0
11,inf,0,22000,0
12,inf,0,42100,9
13,inf,0,51300,213
14,inf,0,42800,122
15,inf,0,48700,3
16,inf,0,46800,1
17,inf,0,61600,173
18,inf,0,59000,146
19,inf,0,49500,1
20,inf,0,57700,15
21,inf,0,78200,171
22,inf,0,79100,173
23,inf,0,56000,10
24,inf,0,72800,5
25,inf,0,71600,234
26,inf,0,61500,138
27,inf,0,92700,9
28,1800.03,0.0555546,9600,0
29,1808.42,0.055297,9600,0
30,1813.63,0.0551381,9800,0
31,1622.03,0.0616513,9300,0
32,1364.7,0.0732762,8000,0
33,893.541,0.111914,9600,0
34,1602.6,0.0623986,11200,0
35,1144.77,0.0873536,4500,0
36,576.202,0.17355,9000,0
37,341.724,0.292634,7800,0
38,416.49,0.240102,9200,0
39,403.51,0.247825,9800,0
40,1876.36,0.0532946,10000,0
41,1661.02,0.0602038,9000,0
42,1885.93,0.0530242,9600,0
43,2002.07,0.0499482,8600,0
44,1241.9,0.0805215,9000,0
45,1341.36,0.0745514,9500,0
46,1748.33,0.0571973,10700,0
47,1725.99,0.0579377,10100,0
48,1641.46,0.0609216,9400,0
49,1687.64,0.0592542,10000,0
50,1972.77,0.0506903,10400,0
51,1993.33,0.0501674,10400,0
52,1997.15,0.0500712,10300,0
53,1708.23,0.0585401,9200,0
54,1812.8,0.0551634,9700,0
55,1239.44,0.0806814,9600,0
56,1154.79,0.0865956,10600,0
57,1785.69,0.0560008,9600,0
58,1755.31,0.0569699,10300,0
59,1590.12,0.0628882,9700,0
60,1852.59,0.0539784,10800,0
61,1506.75,0.0663682,9700,0
62,1529.51,0.0653803,9500,0
63,1693.53,0.0590484,9800,0
64,-nan,0,0,0
65,966.162,0.103502,9900,0
66,636.933,0.157002,10800,0
67,836.433,0.119555,11200,0
