node,throughput,latency,receivedByte,numCoding
0,inf,0,256100,108
1,inf,0,170300,388
2,inf,0,149200,523
3,inf,0,210500,27
4,190694,0.0025668,186000,3
5,67961.3,0.00807398,214000,429
6,46281.7,0.0116265,203400,322
7,251922,0.00273686,262000,2
8,63151.6,0.00389913,91600,0
9,29318.1,0.0108716,120800,0
10,30294.6,0.0109383,118300,0
11,120241,0.00332896,143300,0
12,170813,0.00189866,118700,0
13,26073.7,0.00928029,85900,2
14,25113.2,0.010228,89900,47
15,50913.7,0.00476601,85900,0
16,37502.2,0.0047688,61700,0
17,18786.6,0.00954728,61700,0
18,15194.1,0.011961,60700,0
19,41906.6,0.00430228,61300,0
20,1170.68,0.0854208,25200,0
21,1418.55,0.0704948,25300,0
22,1328.61,0.0752669,24700,0
23,2054.36,0.0990131,53700,0
24,1028.31,0.097247,26100,0
25,1150.03,0.086954,28500,0
26,959.029,0.104272,25000,0
27,1077.62,0.0927971,27900,0
28,1078.91,0.0926857,27700,0
29,1210.41,0.0826166,25600,0
30,1430.53,0.069904,26100,0
31,-nan,0,0,0
32,917.32,0.109013,28500,0
33,946.907,0.105607,27400,0
34,-nan,0,0,0
35,1356.08,0.0737419,28800,0
36,777.431,0.128629,27200,0
37,273.713,0.365346,26700,0
38,750.662,0.133216,25900,0
39,268.029,0.373094,27300,0
