node,throughput,latency,receivedByte,numCoding
0,inf,0,55400,0
1,inf,0,56800,14
2,inf,0,49400,91
3,inf,0,41200,9
4,inf,0,55700,0
5,inf,0,60900,176
6,inf,0,56200,138
7,inf,0,53900,4
8,inf,0,33200,6
9,inf,0,51800,191
10,inf,0,51700,31
11,inf,0,56400,7
12,inf,0,35900,19
13,inf,0,34200,2
14,inf,0,41200,71
15,inf,0,34100,0
16,inf,0,46300,0
17,inf,0,53700,181
18,inf,0,47600,118
19,inf,0,35800,0
20,inf,0,45900,2
21,inf,0,56200,200
22,inf,0,44900,88
23,inf,0,37600,15
24,inf,0,23800,11
25,inf,0,22700,0
26,inf,0,31800,90
27,inf,0,22800,0
28,-nan,0,0,0
29,48.0148,2.08269,1900,0
30,-nan,0,0,0
31,304.668,0.328226,1700,0
32,-nan,0,0,0
33,62.8886,1.59011,8400,0
34,1133.27,0.0882406,500,0
35,187.822,0.53242,1000,0
36,-nan,0,0,0
37,66.2589,1.50923,4000,0
38,-nan,0,0,0
39,63.1152,1.5844,7800,0
40,23.0858,4.33166,2800,0
41,17.9108,5.58321,3100,0
42,23.0173,4.34456,2800,0
43,60.9264,1.64132,8700,0
44,22.5423,4.4361,2000,0
45,-nan,0,0,0
46,21.1201,4.73483,2200,0
47,-nan,0,0,0
48,1630.41,0.0613342,1500,0
49,1632.23,0.0612659,2500,0
50,-nan,0,0,0
51,1632.27,0.0612644,300,0
52,1652.69,0.0605074,1200,0
53,1633.01,0.0612368,100,0
54,1626.42,0.0614847,1300,0
55,1629.86,0.0613549,8900,0
56,1628.95,0.0613891,1400,0
57,1628.91,0.0613906,3900,0
58,-nan,0,0,0
59,1182.99,0.0845318,8700,0
60,-nan,0,0,0
61,1632.25,0.0612651,600,0
62,1416.79,0.070582,1100,0
63,1246.09,0.0802509,1500,0
64,484.529,0.206386,9500,0
65,1632.46,0.0612571,1000,0
66,275.424,0.363076,1900,0
67,1631.79,0.0612823,1200,0
