node,throughput,latency,receivedByte,numCoding
0,inf,0,85000,207
1,inf,0,60200,27
2,inf,0,80400,226
3,inf,0,63500,31
4,inf,0,95000,0
5,inf,0,64800,0
6,inf,0,58600,86
7,inf,0,76800,3
8,inf,0,58900,0
9,inf,0,27400,0
10,-nan,0,0,0
11,inf,0,71100,1
12,inf,0,13900,0
13,inf,0,27500,0
14,inf,0,56800,0
15,inf,0,57600,0
16,inf,0,43300,0
17,inf,0,43300,0
18,inf,0,43200,0
19,inf,0,27500,0
20,-nan,0,0,0
21,1354.59,0.0738231,16300,0
22,699.424,0.142975,13200,0
23,1010.99,0.0989126,14900,0
24,-nan,0,0,0
25,-nan,0,0,0
26,-nan,0,0,0
27,564.743,0.177072,14700,0
28,864.662,0.115652,14500,0
29,21.503,4.65052,12100,0
30,-nan,0,0,0
31,20.1885,4.95331,11000,0
32,559.766,0.178646,12100,0
33,525.654,0.190239,15200,0
34,1284.11,0.0778751,13400,0
35,699.183,0.143024,12400,0
36,-nan,0,0,0
37,353.564,0.282834,14100,0
38,863.05,0.115868,13600,0
39,992.236,0.100782,13900,0
