node,throughput,latency,receivedByte,numCoding
0,inf,0,52000,44
1,inf,0,43700,88
2,inf,0,50900,130
3,inf,0,45800,2
4,inf,0,59900,49
5,inf,0,40800,98
6,inf,0,50500,154
7,inf,0,54500,4
8,inf,0,40600,63
9,inf,0,49600,201
10,inf,0,49600,150
11,inf,0,60900,0
12,inf,0,53600,15
13,inf,0,43800,37
14,inf,0,53400,127
15,inf,0,57500,41
16,inf,0,57900,64
17,inf,0,43500,106
18,inf,0,56400,203
19,inf,0,47700,19
20,inf,0,53600,4
21,inf,0,51300,162
22,inf,0,54100,188
23,inf,0,61500,13
24,inf,0,10600,0
25,inf,0,10600,0
26,inf,0,10600,0
27,inf,0,10600,0
28,1802.06,0.0554919,9200,0
29,1157.27,0.0864102,8200,0
30,879.077,0.113756,10300,0
31,-nan,0,0,0
32,1123.25,0.0890273,9300,0
33,1845.7,0.0541801,9200,0
34,1807.55,0.0553234,8300,0
35,1611.5,0.062054,8200,0
36,1547.08,0.0646379,9000,0
37,1889.46,0.0529252,9400,0
38,-nan,0,0,0
39,946.786,0.105621,10000,0
40,917.698,0.108968,9300,0
41,974.294,0.102638,10200,0
42,976.243,0.102434,9000,0
43,2226.45,0.0449145,8700,0
44,938.599,0.106542,9600,0
45,234.152,0.427073,8900,0
46,1364.95,0.0732629,9100,0
47,1701.93,0.0587569,9100,0
48,2125.45,0.0470489,9000,0
49,1766.04,0.0566239,8100,0
50,1949.38,0.0512983,9100,0
51,1140.2,0.087704,9500,0
52,1469.36,0.0680569,10200,0
53,2372.79,0.0421446,9200,0
54,1015.77,0.0984478,9800,0
55,1897.77,0.0526935,8800,0
56,1736.89,0.057574,8700,0
57,2569.02,0.0389254,8400,0
58,2072.4,0.0482533,6800,0
59,1847.38,0.0541306,8100,0
60,2145.97,0.046599,7500,0
61,313.327,0.319156,9000,0
62,1385.33,0.0721851,9200,0
63,369.466,0.270661,8600,0
64,1066.19,0.0937917,6500,0
65,278.579,0.358965,8300,0
66,251.423,0.397736,8000,0
67,1269.01,0.0788016,10600,0
