node,throughput,latency,receivedByte,numCoding
0,inf,0,77700,72
1,inf,0,79200,348
2,inf,0,79800,331
3,inf,0,75300,54
4,64653,0.00279376,28900,0
5,4331.1,0.0282534,18600,0
6,6674.65,0.0203181,19800,0
7,63713.1,0.00359509,33900,0
8,37690.5,0.004874,24800,0
9,5747.75,0.0216538,17300,0
10,6931.47,0.014427,12800,0
11,32788.8,0.00490318,20900,0
12,40635.5,0.00562207,28100,0
13,7047.37,0.019298,17000,0
14,10369.8,0.01345,15900,0
15,47388.2,0.00425653,23600,0
16,26774.3,0.00536472,15800,0
17,5942.01,0.023978,16100,0
18,8153.13,0.0179169,14900,0
19,74592.8,0.00196446,14800,0
20,713.668,0.140121,7700,0
21,831.58,0.120253,7000,0
22,771.005,0.129701,6800,0
23,983.787,0.101648,5600,0
24,811.829,0.123179,7100,0
25,999.636,0.100036,5600,0
26,732.045,0.136604,4800,0
27,806.978,0.123919,5900,0
28,764.693,0.130771,6000,0
29,783.164,0.127687,5500,0
30,744.176,0.134377,5000,0
31,898.947,0.111241,5600,0
32,686.288,0.145712,3800,0
33,752.944,0.132812,5200,0
34,475.453,0.210326,4600,0
35,948.271,0.105455,4700,0
36,552.942,0.180851,3400,0
37,1402.29,0.0713118,4500,0
38,599.174,0.166896,3300,0
39,720.343,0.138823,2700,0
