node,throughput,latency,receivedByte,numCoding
0,inf,0,47300,49
1,inf,0,32200,155
2,inf,0,48600,281
3,inf,0,34300,1
4,inf,0,39900,9
5,inf,0,51300,246
6,inf,0,39400,125
7,inf,0,79800,9
8,inf,0,41800,28
9,inf,0,47600,202
10,inf,0,43400,135
11,inf,0,48000,0
12,inf,0,52100,2
13,inf,0,49300,199
14,inf,0,44400,147
15,inf,0,57700,0
16,inf,0,28300,0
17,inf,0,23400,17
18,inf,0,29500,78
19,inf,0,23200,0
20,inf,0,40700,9
21,inf,0,58300,225
22,inf,0,50900,160
23,inf,0,46300,23
24,inf,0,80600,2
25,inf,0,60700,230
26,inf,0,52700,152
27,inf,0,87200,11
28,2288.08,0.0437048,9700,0
29,2160.88,0.0462775,9000,0
30,1210.32,0.0826225,9500,0
31,2097.27,0.0476811,8600,0
32,1126.29,0.088787,7100,0
33,1617.03,0.0618418,8000,0
34,1875.73,0.0533125,10300,0
35,1602.43,0.0624054,9300,0
36,1862.39,0.0536943,10100,0
37,2337.3,0.0427843,10200,0
38,1221.06,0.0818959,9700,0
39,1489.53,0.0671353,10000,0
40,1880.99,0.0531634,8700,0
41,1845.22,0.054194,10400,0
42,1876.47,0.0532916,9100,0
43,1767.44,0.0565791,9600,0
44,1257.1,0.0795479,8700,0
45,2428.45,0.0411785,9000,0
46,1581.88,0.0632161,9700,0
47,974.207,0.102648,10000,0
48,1698.02,0.0588923,9700,0
49,1797.99,0.0556177,9300,0
50,1427.91,0.0700322,8100,0
51,1985.64,0.0503615,9200,0
52,1710.13,0.0584752,9100,0
53,1865.96,0.0535916,10700,0
54,2056.63,0.0486232,9400,0
55,1898.73,0.0526666,9800,0
56,1417.98,0.0705228,9800,0
57,1581.49,0.0632316,10500,0
58,1972.27,0.0507029,9300,0
59,1708.27,0.0585387,9900,0
60,1956.34,0.0511158,9800,0
61,1488.77,0.0671695,9500,0
62,1966.6,0.0508491,8200,0
63,2147.15,0.0465733,9100,0
64,1254.81,0.0796931,10500,0
65,1159.15,0.0862703,9700,0
66,989.471,0.101064,11300,0
67,1166.83,0.0857022,10700,0
