node,throughput,latency,receivedByte,numCoding
0,inf,0,56900,9
1,inf,0,57200,213
2,inf,0,57800,230
3,inf,0,56700,25
4,inf,0,31600,9
5,inf,0,10800,0
6,inf,0,10800,0
7,inf,0,31700,0
8,inf,0,10400,0
9,inf,0,10400,0
10,inf,0,10400,0
11,inf,0,10400,0
12,inf,0,69700,42
13,inf,0,62200,247
14,inf,0,59200,203
15,inf,0,61400,21
16,inf,0,57100,2
17,inf,0,67300,265
18,inf,0,55200,183
19,inf,0,63700,42
20,inf,0,53700,5
21,inf,0,68000,275
22,inf,0,53200,147
23,inf,0,64800,23
24,inf,0,48600,4
25,inf,0,49800,225
26,inf,0,41300,136
27,inf,0,46400,0
28,2153.97,0.0464259,9000,0
29,2241.35,0.0446159,8900,0
30,1601.9,0.0624258,6800,0
31,1515.92,0.0659666,9700,0
32,1412.06,0.0708187,9700,0
33,862.244,0.115976,9600,0
34,1157.46,0.0863963,10100,0
35,990.545,0.100955,10300,0
36,1622.86,0.0616197,10800,0
37,1620,0.0617285,10400,0
38,1887.63,0.0529765,10100,0
39,1699.96,0.0588248,10200,0
40,1421.25,0.0703606,9100,0
41,1550,0.0645162,8300,0
42,1537.99,0.0650201,9200,0
43,2274.11,0.0439733,8800,0
44,2022.48,0.0494443,9400,0
45,1096.37,0.0912099,8100,0
46,1571.86,0.0636188,9600,0
47,1931.08,0.0517846,9000,0
48,1696.34,0.0589505,9100,0
49,1444.93,0.0692073,10600,0
50,1549.49,0.0645374,9300,0
51,2441.99,0.0409502,9000,0
52,1404.41,0.0712044,9400,0
53,2137.18,0.0467906,8500,0
54,1705.94,0.0586189,9400,0
55,1722.23,0.0580641,10200,0
56,1903.17,0.052544,10000,0
57,2264.47,0.0441605,9100,0
58,1621.61,0.0616671,9400,0
59,1077.9,0.0927727,9400,0
60,1358.03,0.0736359,7500,0
61,1520.84,0.065753,8300,0
62,1832.07,0.054583,8400,0
63,1697.93,0.0588954,8700,0
64,1381.5,0.0723849,7900,0
65,2137.83,0.0467764,7700,0
66,1851.6,0.0540073,8800,0
67,1397.16,0.0715739,9300,0
