node,throughput,latency,receivedByte,numCoding
0,inf,0,114800,0
1,inf,0,133100,495
2,inf,0,128200,551
3,inf,0,125300,114
4,inf,0,43600,0
5,inf,0,18100,0
6,inf,0,10800,0
7,inf,0,64100,0
8,inf,0,7400,0
9,-nan,0,0,0
10,-nan,0,0,0
11,inf,0,14100,0
12,inf,0,15300,0
13,inf,0,15300,0
14,inf,0,15300,0
15,inf,0,7200,0
16,inf,0,7200,0
17,-nan,0,0,0
18,inf,0,8100,0
19,inf,0,8100,0
20,554.136,0.180461,12100,0
21,617.046,0.162063,12900,0
22,570.016,0.175434,10700,0
23,629.612,0.158828,12000,0
24,579.889,0.172447,9400,0
25,698.458,0.143172,12600,0
26,549.542,0.18197,9000,0
27,666.85,0.149959,9400,0
28,849.185,0.11776,10100,0
29,512.532,0.19511,12000,0
30,521.799,0.191645,8800,0
31,573.203,0.174458,10800,0
32,807.525,0.123835,7900,0
33,621.442,0.160916,9800,0
34,401.316,0.24918,7400,0
35,649.228,0.154029,7700,0
36,-nan,0,0,0
37,1003.75,0.0996268,8100,0
38,695.292,0.143825,7100,0
39,492.225,0.203159,8600,0
