224.97	0.0539737
197.267	4.28078
216.242	0.0176173
198.389	2.12507
197.944	4.72144
234.545	0.0521565
227.333	0.019983
202.2	0.0169686
190.121	0.0605652
214.242	0.0333723
187.455	0.0538454
197.111	0.0164529
207.185	0.0177105
212.889	2.33928
221.933	0.0160459
202.267	0.0165755
207.4	4.28594
205.467	0.0173652
205.03	0.0172506
220.364	0.0354296
199.394	0.652877
200.364	0.0169797
197.333	0.290174
177.533	0.0262515
236.444	0.217121
228.545	0.0404853
195.611	1.69114
158	0.158912
222.611	0.0263719
217.273	0.0272112
210.583	0.0161333
172.778	3.38122
221.636	0.0259257
218.056	0.0237245
217.722	0.0334191
194.727	2.82586
210.733	0.0188083
204.606	0.0183226
195.333	5.08031
136.333	2.77528
190.722	1.06279
184	0.0193451
218.933	0.179235
196.364	1.20689
217.818	0.0261532
220.37	0.018812
199.636	0.0490255
232.8	0.0234802
226.556	0.0469147
183.733	4.36682
238.848	0.0214648
195.091	0.0267504
174.722	0.0496951
197.667	0.0183417
227.636	0.0354471
215.267	0.0154064
166.121	0.0343513
222	0.563092
199.944	0.0243262
209.778	3.00976
