node,throughput,latency,receivedByte,numCoding
0,inf,0,19400,0
1,-nan,0,0,0
2,-nan,0,0,0
3,inf,0,19400,0
4,inf,0,19400,0
5,inf,0,19400,0
6,inf,0,19400,0
7,inf,0,19400,0
8,-nan,0,0,0
9,-nan,0,0,0
10,-nan,0,0,0
11,-nan,0,0,0
12,-nan,0,0,0
13,-nan,0,0,0
14,-nan,0,0,0
15,-nan,0,0,0
16,inf,0,19800,0
17,inf,0,19800,0
18,inf,0,19800,0
19,inf,0,19900,0
20,-nan,0,0,0
21,-nan,0,0,0
22,-nan,0,0,0
23,-nan,0,0,0
24,1037.56,0.09638,19400,0
25,-nan,0,0,0
26,-nan,0,0,0
27,-nan,0,0,0
28,-nan,0,0,0
29,-nan,0,0,0
30,-nan,0,0,0
31,-nan,0,0,0
32,-nan,0,0,0
33,-nan,0,0,0
34,-nan,0,0,0
35,-nan,0,0,0
36,1511.66,0.0661523,19800,0
37,-nan,0,0,0
38,-nan,0,0,0
39,-nan,0,0,0
