node,throughput,latency,receivedByte,numCoding
0,inf,0,6000,0
1,inf,0,6700,26
2,inf,0,9300,19
3,inf,0,9700,0
4,inf,0,3100,0
5,inf,0,3100,0
6,inf,0,3100,0
7,-nan,0,0,0
8,-nan,0,0,0
9,-nan,0,0,0
10,-nan,0,0,0
11,-nan,0,0,0
12,-nan,0,0,0
13,-nan,0,0,0
14,-nan,0,0,0
15,-nan,0,0,0
16,-nan,0,0,0
17,-nan,0,0,0
18,-nan,0,0,0
19,-nan,0,0,0
20,625.644,0.159835,2900,0
21,1256.51,0.0795854,3100,0
22,529.146,0.188984,2600,0
23,2100.69,0.0476033,2800,0
24,-nan,0,0,0
25,-nan,0,0,0
26,-nan,0,0,0
27,-nan,0,0,0
28,-nan,0,0,0
29,-nan,0,0,0
30,-nan,0,0,0
31,-nan,0,0,0
32,-nan,0,0,0
33,-nan,0,0,0
34,-nan,0,0,0
35,-nan,0,0,0
36,-nan,0,0,0
37,-nan,0,0,0
38,-nan,0,0,0
39,-nan,0,0,0
