node,throughput,latency,receivedByte,numCoding
0,inf,0,247300,41
1,inf,0,169900,465
2,inf,0,190800,647
3,inf,0,264400,93
4,191257,0.00320534,239700,4
5,62080.9,0.0104265,250500,436
6,55724.6,0.0113542,236000,442
7,170040,0.00349978,230900,132
8,106331,0.00361146,141700,0
9,29630.6,0.0107299,117000,0
10,25427.1,0.00992673,89100,0
11,119194,0.00272953,118100,0
12,164745,0.00196674,114700,36
13,33423.4,0.00918946,111800,3
14,22903.7,0.010527,82700,6
15,135648,0.00280462,138100,50
16,27697.4,0.00361044,34000,0
17,19498.2,0.00917684,60300,0
18,16400.4,0.0109975,59700,0
19,45294.7,0.00394011,60500,0
20,1189.87,0.0840431,29600,0
21,1275.88,0.078377,27500,0
22,1546.02,0.0646824,25500,0
23,1343.72,0.0744203,27100,0
24,1195.01,0.0836816,26700,0
25,1183.22,0.0845148,22800,0
26,689.289,0.145077,21400,0
27,722.277,0.138451,29600,0
28,17.9756,5.5631,28200,0
29,487.946,0.204941,27500,0
30,561.531,0.178085,24800,0
31,17.9263,5.5784,22100,0
32,618.309,0.161731,26400,0
33,1026.69,0.0974003,28200,0
34,820.663,0.121853,25500,0
35,474.625,0.210693,20900,0
36,-nan,0,0,0
37,556.27,0.179769,22400,0
38,1415.79,0.0706319,25900,0
39,751.44,0.133078,25400,0
