node,throughput,latency,receivedByte,numCoding
0,inf,0,58300,106
1,inf,0,40700,128
2,inf,0,53800,207
3,inf,0,49400,45
4,-nan,0,0,0
5,-nan,0,0,0
6,-nan,0,0,0
7,-nan,0,0,0
8,-nan,0,0,0
9,-nan,0,0,0
10,-nan,0,0,0
11,-nan,0,0,0
12,-nan,0,0,0
13,-nan,0,0,0
14,-nan,0,0,0
15,-nan,0,0,0
16,-nan,0,0,0
17,-nan,0,0,0
18,-nan,0,0,0
19,-nan,0,0,0
20,1469.51,0.0680501,16300,0
21,1551.15,0.0644681,15500,0
22,1839.07,0.0543754,16300,0
23,1450.56,0.0689387,16300,0
24,-nan,0,0,0
25,-nan,0,0,0
26,-nan,0,0,0
27,-nan,0,0,0
28,-nan,0,0,0
29,-nan,0,0,0
30,-nan,0,0,0
31,-nan,0,0,0
32,-nan,0,0,0
33,-nan,0,0,0
34,-nan,0,0,0
35,-nan,0,0,0
36,-nan,0,0,0
37,-nan,0,0,0
38,-nan,0,0,0
39,-nan,0,0,0
