node,throughput,latency,receivedByte,numCoding
0,inf,0,70900,169
1,inf,0,72100,187
2,inf,0,71500,185
3,inf,0,66900,13
4,inf,0,91600,65
5,inf,0,64100,129
6,inf,0,47800,70
7,inf,0,94300,60
8,inf,0,38100,0
9,-nan,0,0,0
10,-nan,0,0,0
11,inf,0,45200,0
12,inf,0,58200,0
13,inf,0,44000,0
14,inf,0,39100,0
15,inf,0,34300,0
16,inf,0,28600,0
17,inf,0,14200,0
18,inf,0,14200,0
19,inf,0,14200,0
20,-nan,0,0,0
21,587.767,0.170135,15700,0
22,-nan,0,0,0
23,1383.42,0.0722845,15100,0
24,-nan,0,0,0
25,-nan,0,0,0
26,-nan,0,0,0
27,1088.92,0.0918344,14700,0
28,1128.15,0.0886409,13300,0
29,612.223,0.163339,13500,0
30,1281.44,0.0780371,15500,0
31,667.742,0.149758,12100,0
32,740.878,0.134975,17900,0
33,25.4324,3.932,12100,0
34,485.105,0.206141,11800,0
35,448.134,0.223147,12100,0
36,-nan,0,0,0
37,24.8873,4.01811,11100,0
38,1247.9,0.0801348,14200,0
39,22.6494,4.41513,11100,0
