node,throughput,latency,receivedByte,numCoding
0,inf,0,9500,0
1,inf,0,9500,0
2,inf,0,10200,0
3,inf,0,10200,0
4,inf,0,26900,5
5,inf,0,61200,65
6,inf,0,74000,0
7,inf,0,33700,0
8,inf,0,61700,0
9,inf,0,65200,68
10,inf,0,80800,68
11,inf,0,54000,5
12,inf,0,20000,0
13,inf,0,13600,0
14,inf,0,13600,0
15,inf,0,13700,0
16,inf,0,6100,0
17,-nan,0,0,0
18,-nan,0,0,0
19,-nan,0,0,0
20,-nan,0,0,0
21,-nan,0,0,0
22,-nan,0,0,0
23,-nan,0,0,0
24,88.8292,1.12576,9500,0
25,40.7141,2.45615,8700,0
26,70.2825,2.7482,14100,0
27,114.42,0.87397,10100,0
28,33.49,2.98596,7400,0
29,-nan,0,0,0
30,29.8863,3.34601,6000,0
31,30.0164,3.33151,6700,0
32,77.0253,1.29827,6400,0
33,34.3836,2.90837,7100,0
34,1258.12,0.0794837,7500,0
35,26.3388,3.79667,5800,0
36,25.7395,3.88509,4600,0
37,171.459,0.583231,6400,0
38,1229.14,0.081358,6000,0
39,40.4299,2.47341,5400,0
