node,throughput,latency,receivedByte,numCoding
0,inf,0,85700,161
1,inf,0,74600,425
2,inf,0,75600,421
3,inf,0,84500,153
4,inf,0,50700,18
5,-nan,0,0,0
6,-nan,0,0,0
7,inf,0,54400,23
8,inf,0,44100,60
9,inf,0,45600,218
10,inf,0,45000,160
11,inf,0,48800,0
12,-nan,0,0,0
13,-nan,0,0,0
14,-nan,0,0,0
15,-nan,0,0,0
16,inf,0,65600,21
17,inf,0,81400,347
18,inf,0,78000,304
19,inf,0,79300,9
20,inf,0,21900,0
21,inf,0,21900,0
22,inf,0,11400,0
23,inf,0,11400,0
24,inf,0,71400,59
25,inf,0,78200,371
26,inf,0,72600,287
27,inf,0,78100,21
28,1590.43,0.0628762,9200,0
29,2523.9,0.0396213,9100,0
30,1821.82,0.0548901,9500,0
31,1665.77,0.0600324,9200,0
32,1691.65,0.0591139,7900,0
33,1680.17,0.0595176,9200,0
34,1318.94,0.0758182,11500,0
35,887.121,0.112724,12500,0
36,1080.12,0.092582,11600,0
37,842.799,0.118652,9900,0
38,1224.8,0.0816462,9900,0
39,883.783,0.11315,10000,0
40,1827.48,0.0547203,9700,0
41,1922.69,0.0520103,10800,0
42,1250.3,0.0799809,9100,0
43,2248.54,0.0444734,9900,0
44,1633.79,0.0612074,7700,0
45,1963.36,0.050933,9300,0
46,1687.03,0.0592757,10200,0
47,1650.28,0.0605959,10100,0
48,1910.36,0.0523462,9400,0
49,2338.53,0.042762,9800,0
50,1603.27,0.0623726,11300,0
51,1567.19,0.0638085,9700,0
52,1948.58,0.0513194,10100,0
53,932.076,0.107287,10000,0
54,1369.65,0.0730113,10600,0
55,-nan,0,0,0
56,2123.36,0.0470952,9900,0
57,1917.82,0.0521425,9900,0
58,1825.52,0.0547788,9100,0
59,1671.51,0.059826,10400,0
60,1266.02,0.0789876,8500,0
61,2354.53,0.0424714,9700,0
62,1888.99,0.0529383,10200,0
63,1836.49,0.0544518,9600,0
64,1607.17,0.0622213,9900,0
65,1622.57,0.0616307,9000,0
66,1609.63,0.0621259,9300,0
67,1241.44,0.0805515,9300,0
