node,throughput,latency,receivedByte,numCoding
0,inf,0,47100,50
1,inf,0,51200,161
2,inf,0,52800,83
3,inf,0,62800,48
4,inf,0,75300,5
5,inf,0,46100,80
6,inf,0,44300,76
7,inf,0,67300,14
8,inf,0,42000,0
9,inf,0,31000,0
10,inf,0,21900,0
11,inf,0,61100,0
12,inf,0,18700,0
13,inf,0,7700,0
14,-nan,0,0,0
15,inf,0,29000,0
16,inf,0,28400,0
17,inf,0,29200,0
18,inf,0,36200,72
19,inf,0,29000,0
20,-nan,0,0,0
21,-nan,0,0,0
22,1503.32,0.0665193,11000,0
23,736.425,0.135791,12100,0
24,906.814,0.110276,10800,0
25,544.698,0.183588,8800,0
26,1215.84,0.0822476,10800,0
27,997.894,0.100211,11600,0
28,61.8148,1.61774,10100,0
29,1112.58,0.0898809,10800,0
30,54.995,1.81835,9300,0
31,116.889,0.855512,10200,0
32,134.129,0.745549,8800,0
33,673.498,0.148479,10200,0
34,-nan,0,0,0
35,573.897,0.174247,9600,0
36,-nan,0,0,0
37,388.868,0.257156,7800,0
38,1461.69,0.0684139,7700,0
39,597.251,0.167434,8000,0
