node,throughput,latency,receivedByte,numCoding
0,-nan,0,0,0
1,-nan,0,0,0
2,-nan,0,0,0
3,-nan,0,0,0
4,202010,0.000952261,25200,0
5,43098.2,0.00454849,24700,0
6,inf,0,12100,0
7,224584,0.000879761,24500,0
8,-nan,0,0,0
9,13290.1,0.0075244,12900,0
10,-nan,0,0,0
11,75489.7,0.00132468,12700,0
12,-nan,0,0,0
13,19641.1,0.00509136,13100,0
14,-nan,0,0,0
15,69935.9,0.00142988,12500,0
16,76290.1,0.00131079,12800,0
17,36950.4,0.00270633,13000,0
18,-nan,0,0,0
19,87367,0.0011446,11800,0
20,-nan,0,0,0
21,-nan,0,0,0
22,-nan,0,0,0
23,-nan,0,0,0
24,-nan,0,0,0
25,-nan,0,0,0
26,-nan,0,0,0
27,1506.9,0.0663613,12100,0
28,-nan,0,0,0
29,-nan,0,0,0
30,-nan,0,0,0
31,-nan,0,0,0
32,-nan,0,0,0
33,-nan,0,0,0
34,-nan,0,0,0
35,-nan,0,0,0
36,-nan,0,0,0
37,-nan,0,0,0
38,-nan,0,0,0
39,-nan,0,0,0
