node,throughput,latency,receivedByte,numCoding
0,inf,0,380100,0
1,inf,0,391300,1178
2,inf,0,390800,1174
3,inf,0,383100,0
4,inf,0,137500,0
5,inf,0,32500,0
6,inf,0,32500,0
7,inf,0,198600,0
8,inf,0,24900,0
9,-nan,0,0,0
10,-nan,0,0,0
11,inf,0,28000,0
12,-nan,0,0,0
13,-nan,0,0,0
14,-nan,0,0,0
15,-nan,0,0,0
16,-nan,0,0,0
17,-nan,0,0,0
18,-nan,0,0,0
19,-nan,0,0,0
20,1636.17,0.0611185,32600,0
21,1660.48,0.0602236,31700,0
22,1807.61,0.0553217,30000,0
23,-nan,0,0,0
24,1793.59,0.0557542,29600,0
25,39.9458,2.50339,27400,0
26,2329.39,0.0429297,29200,0
27,38.6995,2.58401,26800,0
28,-nan,0,0,0
29,39.3918,2.5386,28000,0
30,30.1167,3.32042,27900,0
31,1876.02,0.0533043,32500,0
32,30.47,3.28191,26700,0
33,37.6125,2.65869,29100,0
34,29.0817,3.43859,24900,0
35,37.2501,2.68456,28000,0
36,28.3318,3.52961,25500,0
37,2106.28,0.0474771,29200,0
38,-nan,0,0,0
39,36.3418,2.75165,26800,0
