node,throughput,latency,receivedByte,numCoding
0,inf,0,58100,56
1,inf,0,55000,84
2,inf,0,55600,73
3,inf,0,65800,39
4,inf,0,97700,0
5,inf,0,53900,0
6,inf,0,44000,0
7,inf,0,52100,0
8,inf,0,93600,0
9,-nan,0,0,0
10,-nan,0,0,0
11,inf,0,42300,0
12,inf,0,63800,0
13,inf,0,13500,0
14,-nan,0,0,0
15,inf,0,26300,0
16,inf,0,47600,0
17,inf,0,42700,41
18,inf,0,50100,114
19,inf,0,42600,0
20,-nan,0,0,0
21,20.7729,4.81396,13700,0
22,1136.88,0.0879598,12800,0
23,960.834,0.153531,20800,0
24,-nan,0,0,0
25,14.9549,6.68676,10800,0
26,-nan,0,0,0
27,39.4317,5.20101,24200,0
28,108.338,0.923039,12400,0
29,535.959,0.186581,13700,0
30,-nan,0,0,0
31,-nan,0,0,0
32,507.648,0.196987,13500,0
33,33.5568,2.98002,12400,0
34,-nan,0,0,0
35,18.3924,5.43702,9100,0
36,-nan,0,0,0
37,1203.34,0.0831019,12400,0
38,101.674,0.983534,11100,0
39,11.4497,8.73386,6700,0
