node,throughput,latency,receivedByte,numCoding
0,inf,0,43300,28
1,inf,0,41200,168
2,inf,0,42700,172
3,inf,0,41900,15
4,inf,0,26600,1
5,inf,0,31200,127
6,inf,0,28200,96
7,inf,0,29700,0
8,inf,0,27100,3
9,inf,0,30700,128
10,inf,0,28100,100
11,inf,0,30300,0
12,inf,0,39900,11
13,inf,0,43100,191
14,inf,0,42600,174
15,inf,0,42600,1
16,inf,0,51800,60
17,inf,0,49100,181
18,inf,0,51900,159
19,inf,0,52200,10
20,inf,0,14000,0
21,inf,0,39700,124
22,inf,0,28400,4
23,inf,0,27800,0
24,inf,0,76000,35
25,inf,0,80600,319
26,inf,0,70100,222
27,inf,0,82700,1
28,788.44,0.126833,9200,0
29,2182.92,0.0458101,9000,0
30,1509.96,0.066227,9200,0
31,2471.65,0.0404588,8600,0
32,1905.9,0.0524685,7800,0
33,1978.73,0.0505374,10300,0
34,1143.12,0.0874799,8000,0
35,1854.61,0.0539198,7900,0
36,1817.15,0.0550312,9000,0
37,1047.74,0.0954432,9800,0
38,1757.23,0.0569078,9800,0
39,1819.03,0.0549743,8900,0
40,497.641,0.200948,8900,0
41,2184.33,0.0457806,9000,0
42,1114.11,0.0897575,8700,0
43,1324.79,0.0754838,10200,0
44,620.874,0.161063,8900,0
45,2527.37,0.0395668,7900,0
46,402.447,0.24848,8500,0
47,419.611,0.238316,9500,0
48,379.635,0.263411,10200,0
49,821.204,0.121772,9200,0
50,2910.4,0.0343595,8000,0
51,443.659,0.225399,9900,0
52,1779.08,0.0562089,8600,0
53,1692.58,0.0590815,8500,0
54,2782.66,0.0359368,7900,0
55,789.162,0.126717,8900,0
56,1700.36,0.0588111,8400,0
57,502.306,0.199082,9400,0
58,2058.42,0.0485809,8200,0
59,1525.37,0.0655579,9200,0
60,1568.49,0.0637555,8200,0
61,2476.86,0.0403736,8100,0
62,1540.58,0.0649107,8900,0
63,2296.63,0.0435421,7100,0
64,1768.79,0.0565359,8400,0
65,1996.47,0.0500885,7300,0
66,958.76,0.104301,9400,0
67,1094.54,0.0913628,9600,0
